"priority","name","platform","type","status_on_2026_05_14","deadline_or_window","eligibility","8gb_fit","recommendation","why","source"
"P0","Agent Academy Hackathon","Microsoft Agent Academy","AI Agent 应用赛","报名/提交期内","2026-05-12 to 2026-06-02","开放参赛","B","主线 active","要求真实可工作的 agent、演示视频和架构说明；本地主要做工程与集成","https://microsoft.github.io/agent-academy/events/hackathon/"
"P0","5-Day AI Agents: Intensive Vibe Coding Course With Google","Kaggle","AI Agent 学习/作品赛","未开始","2026-06-15 to 2026-06-19","未知","B","练手/预备赛","Kaggle 活动页显示为 AI Agents 课程型比赛，适合快速搭建 agent 作品","https://www.kaggle.com/competitions/5-day-ai-agents-intensive-vibecoding-course-with-google"
"P0","The Gemma 4 Good Hackathon","Kaggle","大模型应用 Hackathon","临近截止","约 2026-05-19","开放参赛","C","只适合快速冲刺","Kaggle 活动页显示奖金高且强调社会影响；时间紧，建议只做轻量原型或复用通用模板","https://www.kaggle.com/competitions/gemma-4-good-hackathon"
"P1","2026 大疆机载 AI 行业应用创新挑战大赛","DJI Developer","行业 AI 应用赛","提交期内","提交方案截止 2026-05-31","开放参赛","C","备选主攻","产业落地强；可做方案和 demo，但机载/边缘/行业理解门槛较高","https://developer.dji.com/cn/innovation-contest/"
"P1","2026数字中国创新大赛·数据应用赛道","数字中国创新大赛","算法+应用赛","需进一步确认具体赛题报名状态","2026-02-05 发布","未知","B/C","重点跟踪","含多模态伪造分析、Text-to-SQL、AI数据全链路、跨境数据合规、产业 Agent","https://www.szzg.gov.cn/2025/xwzx/qwfb/202602/t20260205_5281789.htm"
"P1","2026数字中国创新大赛·数字智造AI应用创新赛","数字中国创新大赛","制造业 AI 应用赛","本轮报名已过","报名/提交截至 2026-04-15","未知","B","复盘并跟踪下一届","应用方向高度匹配，但本轮已过截止；可作为作品模板参考","https://www.szzg.gov.cn/2025/xwzx/szkx/202603/t20260317_5296624.htm"
"P1","Predicting F1 Pit Stops","Kaggle Playground","算法赛/表格预测","进行中","调研日显示 18 days to go","开放参赛","A","第二 active / 轻量算法练手","Kaggle Playground，表格/预测类，8GB 本地和 Kaggle Notebook 都可做","https://www.kaggle.com/competitions/playground-series-s6e5"
"P1","Store Sales - Time Series Forecasting","Kaggle Getting Started","时序预测练习赛","长期开放","Ongoing","开放参赛","A","算法基本功练习","经典时序/零售预测，适合建立 baseline 和实验规范","https://www.kaggle.com/competitions/store-sales-time-series-forecasting"
"P1","LLM Classification Finetuning","Kaggle Getting Started","NLP/偏好分类","长期开放","Ongoing","开放参赛","B/C","大模型轻量练习","可用小模型、LoRA、平台 Notebook 或特征工程方式切入","https://www.kaggle.com/competitions/llm-classification-finetuning"
"P1","What's Up Docs? Document Summarization with LLMs","DrivenData","LLM 文档摘要练习","练习赛","调研日显示约 10 months left","开放参赛","B","应用/算法结合练手","适合摘要评测、RAG、提示词和小模型工作流","https://www.drivendata.org/competitions/search/"
